qr_id,asset_id,asset_tag,qr_value,is_printed,scan_count
qr-00001,ast-00001,AST-00001,932DD1113AB0644D423615B4,TRUE,12
qr-00002,ast-00002,AST-00002,3742927004ECF809F338ADCD,TRUE,15
qr-00003,ast-00003,AST-00003,C2431F88F6FC8FC4C38A4F25,TRUE,21
qr-00004,ast-00004,AST-00004,3677124B4C76AD730D915772,TRUE,5
qr-00005,ast-00005,AST-00005,AD4AABC3616E7C42948A0294,TRUE,39
qr-00006,ast-00006,AST-00006,E858EC12A82556AAE27A2A33,FALSE,12
qr-00007,ast-00007,AST-00007,90CB0B565B0B1FB4CE3D32F3,TRUE,41
qr-00008,ast-00008,AST-00008,2FC0C2D73535143B6D11CCA0,TRUE,31
qr-00009,ast-00009,AST-00009,8F4CDD44170C85B432CD46E5,TRUE,32
qr-00010,ast-00010,AST-00010,C63A5AFC098DC3DB34EE2528,TRUE,12
qr-00011,ast-00011,AST-00011,4D32B3CA2A9810BD075DE21C,TRUE,45
qr-00012,ast-00012,AST-00012,21527D1F22E56249486113E2,TRUE,11
qr-00013,ast-00013,AST-00013,706135E8A6E7B620EDF2C391,TRUE,1
qr-00014,ast-00014,AST-00014,394D53168ADCC41B2A9968FE,TRUE,20
qr-00015,ast-00015,AST-00015,4FACB4DC5A7CB68605AD49DD,TRUE,6
qr-00016,ast-00016,AST-00016,254B1DE7ACF24D24DDD7CFA2,TRUE,26
qr-00017,ast-00017,AST-00017,6113F4BE9AA3F60551A2DD24,FALSE,19
qr-00018,ast-00018,AST-00018,1A65A5F82E8249000AE115AC,TRUE,21
qr-00019,ast-00019,AST-00019,9BD6586B514C163DBF7538A3,FALSE,32
qr-00020,ast-00020,AST-00020,ADF41D973FE4595A1235DF3D,TRUE,20
qr-00021,ast-00021,AST-00021,3CF144EB569F57646AB16EC3,TRUE,26
qr-00022,ast-00022,AST-00022,37E52682E2D8229C3605E8BA,TRUE,44
qr-00023,ast-00023,AST-00023,1B236CD5AB482BFCF9E9923E,TRUE,27
qr-00024,ast-00024,AST-00024,000623D13BF09797C682020E,TRUE,23
qr-00025,ast-00025,AST-00025,A6454F0A15C3DA9B107CAB0A,TRUE,4
qr-00026,ast-00026,AST-00026,3C0E2F5FDB15370A2CBFE6A0,TRUE,7
qr-00027,ast-00027,AST-00027,8A470DF172A08EC99FA50C50,TRUE,6
qr-00028,ast-00028,AST-00028,661675D45F2007CE304098CC,FALSE,24
