asset_id,company_id,category_id,category_name,asset_tag,brand,model,serial_number,purchase_date,purchase_price,warranty_expiry,status,condition,current_employee_id,location,notes
ast-00001,comp-001,cat-04,Smartphone,AST-00001,Google,Pixel 8 Pro,GOO-SMAR-97096-8066,2021-01-17,768.60,2024-01-17,assigned,good,emp-002,Jakarta HQ - Floor 1,
ast-00002,comp-001,cat-01,Laptop,AST-00002,Apple,MacBook Air 15 M3,APP-LAPT-78264-7840,2024-11-26,3464.43,2025-11-26,maintenance,good,,Jakarta HQ - Floor 1,
ast-00003,comp-001,cat-10,Peripheral,AST-00003,Jabra,Evolve2 65 Headset,JAB-PERI-46243-4997,2022-05-31,225.20,2024-05-30,retired,fair,,Remote - WFH,
ast-00004,comp-001,cat-01,Laptop,AST-00004,HP,ProBook 450 G10,HP-LAPT-45105-1276,2025-03-20,1308.92,2027-03-20,maintenance,new,,Remote - WFH,
ast-00005,comp-001,cat-02,Desktop,AST-00005,Dell,OptiPlex 7000 Tower,DEL-DESK-83567-7020,2022-09-19,1379.71,2024-09-18,available,good,,Jakarta HQ - Floor 5,
ast-00006,comp-001,cat-01,Laptop,AST-00006,Lenovo,ThinkPad T14s Gen 4,LEN-LAPT-57495-2578,2024-04-14,2511.22,2025-04-14,assigned,fair,emp-006,Branch - Surabaya,
ast-00007,comp-001,cat-09,Tablet,AST-00007,Microsoft,Surface Pro 9,MIC-TABL-73371-6160,2023-04-27,646.28,2026-04-26,assigned,good,emp-007,Jakarta HQ - Floor 4,
ast-00008,comp-001,cat-04,Smartphone,AST-00008,Google,Pixel 8 Pro,GOO-SMAR-79869-2584,2021-04-26,1452.97,2025-04-25,assigned,fair,emp-009,Data Center - Jakarta,
ast-00009,comp-001,cat-01,Laptop,AST-00009,Apple,MacBook Pro 14 M3,APP-LAPT-89176-8855,2021-04-05,3258.15,2022-04-05,assigned,new,emp-011,Data Center - Jakarta,
ast-00010,comp-001,cat-01,Laptop,AST-00010,Apple,MacBook Air 15 M3,APP-LAPT-18759-9962,2023-01-07,2301.39,2027-01-06,available,new,,Jakarta HQ - Floor 3,
ast-00011,comp-001,cat-10,Peripheral,AST-00011,Poly,Voyager 5200 Headset,POL-PERI-17406-9991,2021-10-18,107.44,2022-10-18,available,good,,Branch - Surabaya,
ast-00012,comp-001,cat-03,Monitor,AST-00012,Dell,U2723QE 4K USB-C Hub,DEL-MONI-19686-1114,2025-01-13,1123.17,2028-01-13,maintenance,good,,Jakarta HQ - Floor 5,
ast-00013,comp-001,cat-01,Laptop,AST-00013,Microsoft,Surface Laptop 5,MIC-LAPT-88876-9004,2024-03-15,1667.43,2025-03-15,available,new,,Jakarta HQ - Floor 3,
ast-00014,comp-001,cat-09,Tablet,AST-00014,Samsung,Galaxy Tab S9 Ultra,SAM-TABL-55036-7849,2023-02-08,415.27,2026-02-07,assigned,good,emp-013,Remote - WFH,
ast-00015,comp-001,cat-01,Laptop,AST-00015,Microsoft,Surface Laptop 5,MIC-LAPT-61181-8110,2024-06-30,1975.63,2026-06-30,available,poor,,Jakarta HQ - Floor 3,
ast-00016,comp-001,cat-10,Peripheral,AST-00016,Logitech,MX Master 3S Mouse,LOG-PERI-28887-5037,2020-08-31,179.65,2022-08-31,maintenance,good,,Data Center - Jakarta,
ast-00017,comp-001,cat-01,Laptop,AST-00017,HP,EliteBook 840 G10,HP-LAPT-60597-3645,2021-08-10,1437.38,2025-08-09,available,good,,Jakarta HQ - Floor 5,
ast-00018,comp-001,cat-08,Router,AST-00018,Fortinet,FortiGate 60F,FOR-ROUT-54029-4127,2022-02-16,335.01,2024-02-16,maintenance,new,,Jakarta HQ - Floor 1,
ast-00019,comp-001,cat-10,Peripheral,AST-00019,Logitech,MX Keys Keyboard,LOG-PERI-31888-2795,2021-07-10,296.41,2022-07-10,available,good,,Branch - Surabaya,
ast-00020,comp-001,cat-01,Laptop,AST-00020,Apple,MacBook Pro 14 M3,APP-LAPT-90109-3528,2024-09-16,2807.24,2025-09-16,available,good,,Jakarta HQ - Floor 3,
ast-00021,comp-001,cat-07,Network Switch,AST-00021,Ubiquiti,UniFi Switch Pro 48,UBI-NETW-95770-3403,2021-11-04,1323.11,2022-11-04,maintenance,poor,,Remote - WFH,
ast-00022,comp-001,cat-03,Monitor,AST-00022,Dell,U2723QE 4K USB-C Hub,DEL-MONI-75781-8794,2021-04-23,1180.83,2023-04-23,available,fair,,Jakarta HQ - Floor 5,
