audit_id,company_id,user_id,action,entity_type,entity_id,ip_address,user_agent,created_at
1,comp-001,emp-085,ai.query,license,ref-00357,10.160.230.63,Flutter/3.16 (Mobile; Android 14),2026-02-02 02:05:02+07
2,comp-001,emp-082,user.logout,user,ref-00148,10.137.241.29,Flutter/3.16 (Mobile; Android 14),2026-05-14 00:27:36+07
3,comp-001,emp-058,ai.query,license,ref-00177,10.97.199.182,Flutter/3.16 (Mobile; Android 14),2026-01-20 16:05:39+07
4,comp-001,emp-066,report.generate,software,ref-00099,10.199.203.141,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120,2026-05-02 06:26:54+07
5,comp-001,emp-071,license.create,notification,ref-00003,10.65.125.20,Flutter/3.16 (Mobile; Android 14),2026-04-07 05:46:24+07
6,comp-001,emp-083,asset.create,employee,ref-00220,10.204.86.104,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605,2026-05-13 23:51:35+07
7,comp-001,emp-075,ai.prediction.run,license,ref-00368,10.136.138.188,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120,2026-06-28 05:02:22+07
8,comp-001,emp-050,ai.query,software,ref-00351,10.94.122.163,Mozilla/5.0 (X11; Linux x86_64) Firefox/121,2026-03-08 09:10:14+07
9,comp-001,emp-031,license.assign,employee,ref-00398,10.27.164.93,Flutter/3.16 (Mobile; iOS 17.2),2026-01-23 19:57:48+07
10,comp-001,emp-074,software.create,employee,ref-00439,10.116.77.251,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605,2026-02-16 08:51:55+07
11,comp-001,emp-064,license.revoke,software,ref-00473,10.33.185.245,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605,2026-05-17 03:08:47+07
12,comp-001,emp-042,employee.offboard,asset,ref-00413,10.70.16.119,Flutter/3.16 (Mobile; iOS 17.2),2026-01-24 19:36:36+07
13,comp-001,emp-047,ai.query,software,ref-00126,10.69.69.90,Flutter/3.16 (Mobile; Android 14),2026-02-05 04:59:35+07
14,comp-001,emp-073,license.assign,license,ref-00468,10.242.26.40,Flutter/3.16 (Mobile; Android 14),2026-04-28 01:08:01+07
15,comp-001,emp-078,report.generate,user,ref-00137,10.224.75.197,Flutter/3.16 (Mobile; Android 14),2026-01-09 17:50:58+07
16,comp-001,emp-046,user.logout,user,ref-00186,10.243.250.96,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605,2026-03-25 13:32:51+07
17,comp-001,emp-013,software.create,software,ref-00477,10.130.78.229,Flutter/3.16 (Mobile; Android 14),2026-03-03 22:39:46+07
18,comp-001,emp-060,employee.update,software,ref-00395,10.104.252.49,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605,2026-03-02 06:23:09+07
19,comp-001,emp-079,report.generate,asset,ref-00416,10.165.228.143,Mozilla/5.0 (X11; Linux x86_64) Firefox/121,2026-02-23 14:32:00+07
20,comp-001,emp-055,asset.create,software,ref-00200,10.124.134.58,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120,2026-05-14 09:46:51+07
21,comp-001,emp-050,asset.create,user,ref-00020,10.245.7.179,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605,2026-02-18 21:57:19+07
22,comp-001,emp-009,settings.update,notification,ref-00485,10.157.79.74,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120,2026-03-11 21:50:52+07
23,comp-001,emp-047,software.create,user,ref-00280,10.92.44.213,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605,2026-03-25 13:50:46+07
24,comp-001,emp-086,user.logout,user,ref-00421,10.205.139.230,Flutter/3.16 (Mobile; Android 14),2026-05-12 06:21:32+07
25,comp-001,emp-059,license.revoke,employee,ref-00051,10.46.241.244,Flutter/3.16 (Mobile; Android 14),2026-05-17 18:58:17+07
26,comp-001,emp-023,ai.query,software,ref-00239,10.132.2.146,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120,2026-04-10 12:55:06+07
27,comp-001,emp-087,report.generate,user,ref-00341,10.71.193.27,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605,2026-03-01 12:14:37+07
28,comp-001,emp-083,employee.update,notification,ref-00327,10.218.170.148,Flutter/3.16 (Mobile; iOS 17.2),2026-02-13 05:34:18+07
29,comp-001,emp-045,asset.return,employee,ref-00237,10.218.166.206,Flutter/3.16 (Mobile; iOS 17.2),2026-03-04 12:28:08+07
30,comp-001,emp-047,employee.update,license,ref-00385,10.16.156.21,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120,2026-02-17 20:49:58+07
31,comp-001,emp-062,license.revoke,user,ref-00073,10.197.182.3,Mozilla/5.0 (X11; Linux x86_64) Firefox/121,2026-05-01 21:09:23+07
32,comp-001,emp-055,settings.update,software,ref-00409,10.124.37.123,Flutter/3.16 (Mobile; iOS 17.2),2026-05-23 09:53:27+07
33,comp-001,emp-045,license.create,user,ref-00396,10.101.16.123,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605,2026-03-10 10:03:32+07
34,comp-001,emp-087,asset.create,software,ref-00129,10.147.206.107,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120,2026-02-27 16:55:21+07
35,comp-001,emp-057,ai.query,license,ref-00055,10.132.251.39,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120,2026-05-14 12:35:04+07
36,comp-001,emp-074,license.create,employee,ref-00015,10.249.6.10,Flutter/3.16 (Mobile; Android 14),2026-05-19 22:44:22+07
