recommendation_id,company_id,prediction_id,software_name,recommendation_type,title,description,priority,estimated_monthly_savings,status,created_at
reco-pred-01-06,comp-001,pred-01-06,Microsoft 365 Business Premium,revoke_dormant,Reduce Microsoft 365 Business Premium licenses by 4,AI detected 4 dormant seats in Microsoft 365 Business Premium. Recommended action: revoke and save estimated $190/month.,low,189.79,pending,2026-05-31 08:00:00+07
reco-pred-02-01,comp-001,pred-02-01,Adobe Creative Cloud All Apps,revoke_dormant,Reduce Adobe Creative Cloud All Apps licenses by 7,AI detected 7 dormant seats in Adobe Creative Cloud All Apps. Recommended action: revoke and save estimated $180/month.,low,179.91,pending,2026-01-01 08:00:00+07
reco-pred-02-04,comp-001,pred-02-04,Adobe Creative Cloud All Apps,cost_saving,Reduce Adobe Creative Cloud All Apps licenses by 1,AI detected 1 dormant seats in Adobe Creative Cloud All Apps. Recommended action: revoke and save estimated $37/month.,low,36.99,pending,2026-04-01 08:00:00+07
reco-pred-03-02,comp-001,pred-03-02,Slack Enterprise Grid,revoke_dormant,Reduce Slack Enterprise Grid licenses by 4,AI detected 4 dormant seats in Slack Enterprise Grid. Recommended action: revoke and save estimated $86/month.,high,86.22,applied,2026-01-31 08:00:00+07
reco-pred-04-01,comp-001,pred-04-01,Zoom Business,license_reduce,Reduce Zoom Business licenses by 1,AI detected 1 dormant seats in Zoom Business. Recommended action: revoke and save estimated $51/month.,low,51.15,applied,2026-01-01 08:00:00+07
reco-pred-04-02,comp-001,pred-04-02,Zoom Business,cost_saving,Reduce Zoom Business licenses by 5,AI detected 5 dormant seats in Zoom Business. Recommended action: revoke and save estimated $233/month.,medium,232.61,applied,2026-01-31 08:00:00+07
reco-pred-04-03,comp-001,pred-04-03,Zoom Business,license_reduce,Reduce Zoom Business licenses by 7,AI detected 7 dormant seats in Zoom Business. Recommended action: revoke and save estimated $302/month.,high,302.40,applied,2026-03-02 08:00:00+07
reco-pred-04-04,comp-001,pred-04-04,Zoom Business,revoke_dormant,Reduce Zoom Business licenses by 6,AI detected 6 dormant seats in Zoom Business. Recommended action: revoke and save estimated $145/month.,medium,144.57,dismissed,2026-04-01 08:00:00+07
reco-pred-05-01,comp-001,pred-05-01,Notion Team Plan,license_reduce,Reduce Notion Team Plan licenses by 2,AI detected 2 dormant seats in Notion Team Plan. Recommended action: revoke and save estimated $103/month.,low,102.93,pending,2026-01-01 08:00:00+07
reco-pred-05-03,comp-001,pred-05-03,Notion Team Plan,license_reduce,Reduce Notion Team Plan licenses by 4,AI detected 4 dormant seats in Notion Team Plan. Recommended action: revoke and save estimated $93/month.,low,93.44,applied,2026-03-02 08:00:00+07
reco-pred-05-04,comp-001,pred-05-04,Notion Team Plan,revoke_dormant,Reduce Notion Team Plan licenses by 1,AI detected 1 dormant seats in Notion Team Plan. Recommended action: revoke and save estimated $20/month.,low,19.54,pending,2026-04-01 08:00:00+07
reco-pred-07-02,comp-001,pred-07-02,Jira Software Cloud,revoke_dormant,Reduce Jira Software Cloud licenses by 4,AI detected 4 dormant seats in Jira Software Cloud. Recommended action: revoke and save estimated $215/month.,medium,214.51,pending,2026-01-31 08:00:00+07
reco-pred-07-04,comp-001,pred-07-04,Jira Software Cloud,license_reduce,Reduce Jira Software Cloud licenses by 8,AI detected 8 dormant seats in Jira Software Cloud. Recommended action: revoke and save estimated $235/month.,low,235.47,dismissed,2026-04-01 08:00:00+07
reco-pred-07-06,comp-001,pred-07-06,Jira Software Cloud,cost_saving,Reduce Jira Software Cloud licenses by 3,AI detected 3 dormant seats in Jira Software Cloud. Recommended action: revoke and save estimated $192/month.,high,191.59,pending,2026-05-31 08:00:00+07
reco-pred-08-02,comp-001,pred-08-02,Confluence Cloud,revoke_dormant,Reduce Confluence Cloud licenses by 5,AI detected 5 dormant seats in Confluence Cloud. Recommended action: revoke and save estimated $228/month.,high,228.38,applied,2026-01-31 08:00:00+07
reco-pred-09-01,comp-001,pred-09-01,AutoCAD LT,license_reduce,Reduce AutoCAD LT licenses by 2,AI detected 2 dormant seats in AutoCAD LT. Recommended action: revoke and save estimated $107/month.,low,107.02,pending,2026-01-01 08:00:00+07
reco-pred-09-03,comp-001,pred-09-03,AutoCAD LT,license_reduce,Reduce AutoCAD LT licenses by 1,AI detected 1 dormant seats in AutoCAD LT. Recommended action: revoke and save estimated $62/month.,low,62.02,applied,2026-03-02 08:00:00+07
reco-pred-09-04,comp-001,pred-09-04,AutoCAD LT,cost_saving,Reduce AutoCAD LT licenses by 2,AI detected 2 dormant seats in AutoCAD LT. Recommended action: revoke and save estimated $78/month.,medium,78.27,pending,2026-04-01 08:00:00+07
reco-pred-09-06,comp-001,pred-09-06,AutoCAD LT,cost_saving,Reduce AutoCAD LT licenses by 4,AI detected 4 dormant seats in AutoCAD LT. Recommended action: revoke and save estimated $211/month.,high,210.70,applied,2026-05-31 08:00:00+07
reco-pred-10-05,comp-001,pred-10-05,Figma Professional,revoke_dormant,Reduce Figma Professional licenses by 5,AI detected 5 dormant seats in Figma Professional. Recommended action: revoke and save estimated $211/month.,low,210.63,applied,2026-05-01 08:00:00+07
reco-pred-11-03,comp-001,pred-11-03,Salesforce Sales Cloud,license_reduce,Reduce Salesforce Sales Cloud licenses by 8,AI detected 8 dormant seats in Salesforce Sales Cloud. Recommended action: revoke and save estimated $452/month.,low,452.41,dismissed,2026-03-02 08:00:00+07
